filename Ptrue Pbrani Pjames RRtype
ps1_-3464306052424170143cleaned.txt 0.606049 0.606061 1.067098 ab
ps1_-3464481974284645595cleaned.txt 0.378617 0.796293 0.280465 c
ps1_-3471272558097995362cleaned.txt 0.615208 0.615218 0.256914 ab
ps1_-3500528363489651140cleaned.txt 0.587908 0.587887 1.492350 ab
ps1_-3507266170744859520cleaned.txt 0.329802 0.822713 0.280582 c
ps1_-3525262977068280071cleaned.txt 0.358944 0.560910 0.263560 c
ps1_-3543400520880080528cleaned.txt 0.561335 0.561335 1.894887 ab
ps1_-3543435705251629857cleaned.txt 0.622012 0.622016 1.727792 ab
ps1_-3554272491855659987cleaned.txt 0.269456 0.265319 0.269459 c
ps1_-3554378044971577205cleaned.txt 0.539485 0.539496 3.943249 ab
ps1_-3554395637157621622cleaned.txt 0.641689 0.641729 0.276708 ab
ps1_-3554501190274151854cleaned.txt 0.614318 0.614301 0.391853 ab
ps1_-3579270988224596832cleaned.txt 0.575895 0.576804 0.576863 ab
ps1_-3597390939850361638cleaned.txt 0.636129 0.636123 0.262922 ab
ps1_-3597478900780492890cleaned.txt 0.602796 0.602789 0.350531 ab
ps1_-3615317377429127009cleaned.txt 0.395470 0.654077 0.266955 c
ps1_-3615317377429592664cleaned.txt 0.586535 0.586539 0.586541 ab
ps1_-3615334969615647745cleaned.txt 0.508395 0.508397 0.568619 ab
ps1_-3615563668033835898cleaned.txt 0.571405 0.571381 0.542053 ab
ps1_-3651539688495215971cleaned.txt 0.336590 0.336581 0.402076 c
ps1_-3662411659470560264cleaned.txt 0.340179 0.463225 0.340180 c
ps1_-3687550893327528516cleaned.txt 0.503096 0.503084 0.720759 ab
ps1_-3687550893328132501cleaned.txt 0.350515 0.607629 0.350502 c
ps1_-3687586077699628281cleaned.txt 0.580769 0.581772 0.325890 ab
ps1_-3687621262072279440cleaned.txt 0.301655 0.301644 0.301651 c
ps1_-3687674038630428753cleaned.txt 0.616114 0.615051 0.460583 ab
ps1_-3698334903373287009cleaned.txt 0.604840 0.604851 1.636412 ab
